timetable_id,stop_id,stop_sequence
0,1_1,1
0,2_1,2
0,3_1,3
0,4_1,4
0,5_1,5
0,6_1,6
0,7_1,7
0,8_1,8
0,9_3,9
0,10_1,10
0,11_1,11
0,12_1,12
0,13_1,13
1,13_2,1
1,12_2,2
1,11_2,3
1,10_2,4
1,9_4,5
1,8_2,6
1,7_2,7
1,6_2,8
1,5_2,9
1,4_2,10
1,3_2,11
1,2_2,12
1,1_2,13
2,1_1,1
2,2_1,2
2,3_1,3
2,4_1,4
2,5_1,5
2,6_1,6
2,7_1,7
2,8_1,8
2,9_3,9
2,10_1,10
2,11_1,11
2,12_1,12
2,13_1,13
3,13_2,1
3,12_2,2
3,11_2,3
3,10_2,4
3,9_4,5
3,8_2,6
3,7_2,7
3,6_2,8
3,5_2,9
3,4_2,10
3,3_2,11
3,2_2,12
3,1_2,13
4,9_1,1
4,14_1,2
4,15_1,3
4,16_1,4
4,17_1,5
4,18_1,6
4,19_1,7
5,19_2,1
5,18_2,2
5,17_2,3
5,16_2,4
5,15_2,5
5,14_2,6
5,9_2,7
6,9_1,1
6,14_1,2
6,15_1,3
6,16_1,4
6,17_1,5
6,18_1,6
6,19_1,7
7,19_2,1
7,18_2,2
7,17_2,3
7,16_2,4
7,15_2,5
7,14_2,6
7,9_2,7
8,20_1,1
8,21_1,2
8,22_1,3
8,23_1,4
8,24_1,5
8,25_1,6
8,26_1,7
8,27_1,8
8,28_1,9
8,29_1,10
8,30_1,11
8,31_1,12
8,32_1,13
8,33_1,14
8,34_1,15
8,35_1,16
9,35_2,1
9,34_2,2
9,33_2,3
9,32_2,4
9,31_2,5
9,30_2,6
9,29_2,7
9,28_2,8
9,27_2,9
9,26_2,10
9,25_2,11
9,24_2,12
9,23_2,13
9,22_2,14
9,21_2,15
9,20_2,16
a,20_1,1
a,21_1,2
a,22_1,3
a,23_1,4
a,24_1,5
a,25_1,6
a,26_1,7
a,27_1,8
a,28_1,9
a,29_1,10
a,30_1,11
a,31_1,12
a,32_1,13
a,33_1,14
a,34_1,15
a,35_1,16
b,35_2,1
b,34_2,2
b,33_2,3
b,32_2,4
b,31_2,5
b,30_2,6
b,29_2,7
b,28_2,8
b,27_2,9
b,26_2,10
b,25_2,11
b,24_2,12
b,23_2,13
b,22_2,14
b,21_2,15
b,20_2,16
